名称,所在地,緯度,経度,電話
中村小学童クラブ,練馬区中村2-8-1,35.73053567,139.6443752,03-3577-0530
八坂小学童クラブ,練馬区土支田4-47-15,35.76863642,139.6122686,03-5387-0712
谷原あおぞら学童クラブ,練馬区谷原5-6-5,35.7511988,139.6130813,03-3996-9500
石神井西小学童クラブ,練馬区関町北1-1-5,35.72383489,139.5795688,03-3594-8020
豊玉小ねりっこ学童クラブ,練馬区豊玉中4-2-20,35.73224546,139.6519834,03-3993-6200
大泉第ニ小学童クラブ,練馬区南大泉4-29-11,35.74435931,139.5737719,03-3924-8771
中村西小学童クラブ,練馬区中村北4-17-1,35.73365133,139.6348057,03-3990-2977
春日小学童クラブ,練馬区春日町5-12-1,35.74662547,139.6393617,03-3926-7414
大泉北小学童クラブ,練馬区大泉町4-28-22,35.76216976,139.5952834,03-3925-2690
高松小学童クラブ,練馬区高松3-16-1,35.74980523,139.6273954,03-3998-1020
田柄第二小ねりっこ学童クラブ,練馬区田柄1-5-27,35.75844705,139.6431261,03-5997-0023
富士見台小第二学童クラブ,練馬区富士見台4-16-10,35.74427157,139.6228468,03-3970-5065
関町小学童クラブ,練馬区関町北3-23-34,35.72465386,139.5723995,03-3929-0311
大泉学園小学童クラブ,練馬区大泉学園町4-7-8,35.76532196,139.5930075,03-3867-3561
立野小学童クラブ,練馬区立野町17-6,35.71767692,139.5808823,03-3920-2154
光が丘第八小学童クラブ,練馬区光が丘1-4-1,35.76850192,139.6370928,03-3930-1223
